Unit,Primary_Emotion,Polarity,Mood,Personality
無可奈何,,N,,
無力回天,,N,,
無力,,N,,
渾然不知,,0,,
渴望,1,P,,
渴盼,1,P,,
渴念,1,P,,
渴求,1,P,,
殘暴,4,N,,
殘酷,4,N,,
殘忍,4,N,,
款待,1,P,,
欽羨,1,P,,
欽佩,1,P,,
欺,,N,,
椎心泣血,2,N,,
棘手,,N,,
棒,1,P,,
期望,1,P,,
期盼,1,P,,
期待,1,P,,
期求,1,P,,
期,1,P,,
朝思暮想,1,P,,
智慧,1,P,,
智障,4,N,,
智缺,4,N,,
景仰,1,P,,
斯文掃地,,N,,
散漫,,N,,
敞開,,P,,
敞,,0,,
揮淚,2,N,,
揪心,2,N,,
揪人心肺,2,N,,
揚揚得意,1,P,,
揚揚自得,1,P,,
揚眉吐氣,1,P,,
插嘴,,N,,
提防,,N,,
提心吊膽,,N,,
慨歎,2,N,,
慨然,2,N,,
慨,,0,,
愣神兒,5,0,,
愣神,5,0,,
愣住,5,0,,
愣,5,0,,
愜意,1,P,,
愕然,5,0,,
愉悅,1,P,,
愉快,1,P,,
愉,1,P,,
惶遽,3,N,,
惶惶然,3,N,,
惶惶不可終日,3,N,,
惶惶,3,N,,
惶惑,3,N,,
惶恐不安,3,N,,
惶恐,3,N,,
惶,3,N,,
惴惴不安,3,N,,
惴惴,3,N,,
惱羞成怒,4,N,,
惱恨,4,N,,
惱怒,4,N,,
惱火,4,N,,
惱,4,N,,
惡夢,4,N,,
惡運,4,N,,
惡意,4,N,,
惡鬥,4,N,,
惡臭,4,N,,
惡耗,4,N,,
惡狠狠,4,N,,
惡毒,4,N,,
惡性,4,N,,
惡言,4,N,,
惡劣,4,N,,
惡化,4,N,,
惡人,4,N,,
惡,4,N,,
悶頭兒,2,N,,
悶悶地,2,N,,
悶悶不樂,2,N,,
悶氣,2,N,,
悶倦,2,N,,
悶,2,N,,
悲鬱,2,N,,
悲觀,2,N,,
悲歡,2,N,,
悲歎,2,N,,
悲憫,2,N,,
悲憤填膺,2,N,,
悲憤,2,N,,
悲慼,2,N,,
悲劇,2,N,,
悲慟,2,N,,
悲慘,2,N,,
悲愴,2,N,,
悲愁,2,N,,
悲傷欲絕,2,N,,
悲傷,2,N,,
悲痛欲絕,2,N,,
悲痛,2,N,,
悲喜交集,2,N,,
悲喜,,C,,
悲淒,2,N,,
悲涼,2,N,,
悲情,2,N,,
悲悽,2,N,,
悲悼,2,N,,
悲苦,2,N,,
悲哀,2,N,,
悲泣,2,N,,
悲壯,2,N,,
悲天憫人,2,N,,
悲切,2,N,,
悲,2,N,,
復仇,4,N,,
就緒,,P,,
尋歡作樂,1,P,,
尊嚴,1,P,,
尊榮,1,P,,
尊敬,1,P,,
尊貴,1,P,,
尊重,1,P,,
寒磣,,N,,
寒酸,2,N,,
寒心,2,N,,
富裕,,P,,
富有,,P,,
報復,4,N,,
報仇,4,N,,
堪憂,3,N,,
單獨,2,N,,
喪權辱國,2,N,,
喪禮,2,N,,
喪膽,3,N,,
喪魂落魄,3,N,,
喪盡,2,N,,
喪偶,2,N,,
喪氣,2,N,,
喪志,2,N,,
喪生,2,N,,
喪失,2,N,,
喪心,2,N,,
喟歎,2,N,,
喝采,1,P,,
喜歡,1,P,,
喜慶,1,P,,
喜劇,1,P,,
喜極而泣,1,P,,
喜新厭舊,,0,,
喜愛,1,P,,
喜滋滋,1,P,,
喜從天降,1,P,,
喜笑顏開,1,P,,
喜氣洋洋,1,P,,
喜氣,1,P,,
喜悅,1,P,,
喜宴,1,P,,
喜眉笑眼,1,P,,
喜洋洋,1,P,,
喜怒無常,,C,,
喜怒哀樂,,C,,
喜性,1,P,,
喜沖沖,1,P,,
喜形於色,1,P,,
喜好,1,P,,
喜出望外,1,P,,
喜不自勝,1,P,,
喜上眉稍,1,P,,
喜上眉梢,1,P,,
喜,1,P,,
喘噓噓,,N,,
喘喘氣,,N,,
喘氣,,N,,
喘息,,0,,
喘,,N,,
善意,1,P,,
善良,1,P,,
善心,1,P,,
啼饑號寒,,N,,
啼笑皆非,,C,,
啼哭,2,N,,
啼,,0,,
博學,,P,,
博愛,,P,,
勞累,,N,,
勞乏,,N,,
勝過,1,P,,
勝利,1,P,,
創傷,2,N,,
剩女,4,N,,
凱旋,1,P,,
最佳,1,P,,
最好,1,P,,
備感,,0,,
麻煩,,N,,
麻木,,N,,
雀躍,1,P,,
陶醉,1,P,,
陶然,1,P,,
陳腐,,N,,
陰鬱,2,N,,
陰暗,2,N,,
陰森,2,N,,
陰沉,2,N,,
閉口無言,2,N,,
野蠻,4,N,,
造反,,N,,
速懶叫,4,N,,
逝世,2,N,,
逗趣,1,P,,
逗弄,1,P,,
逍遙自在,1,P,,
軟弱無力,2,N,,
軟弱,2,N,,
赧顏,2,P,,
赧然,2,P,,
責備,4,N,,
責怪,4,N,,
貪戀,,N,,
貪慾,,N,,
貪圖,,N,,
貪婪,,N,,
貪念,,N,,
貪求,,N,,
貪污,,N,,
貪汙,,N,,
貪生,,N,,
貪心,,N,,
貪,,N,,
貧賤,,N,,
貧窮,,N,,
貧病,,N,,
貧苦,,N,,
貧困,,N,,
許諾,,P,,
設防,,0,,
訝異,,0,,
處變不驚,,P,,
處罰,4,N,,
處之泰然,1,P,,
莞爾,1,P,,
莊嚴,,P,,
聊以解嘲,1,P,,
聊以自慰,1,P,,
羞澀,2,P,,
羞憤,"2,4",N,,
羞與為伍,2,N,,
羞慚,2,N,,
羞愧,2,N,,
羞答答,2,P,,
羞羞答答,2,P,,
羞辱,2,N,,
羞恥,2,N,,
羞怯,2,N,,
羞人答答,2,P,,
羞人,2,N,,
羞,2,0,,
細心,,P,,
累死,,N,,
累人,,N,,
累,,N,,
粗魯,4,N,,
粗暴,4,N,,
粗野,4,N,,
粗俗,4,N,,
粗心,,N,,
笨蛋,4,N,,
笨拙,4,N,,
笨手笨腳,4,N,,
笨,,N,,
窒礙,,N,,
窒息,3,N,,
視為畏途,,N,,
硍,4,N,,
眾怒,4,N,,
眼饞,4,N,,
眼熱,4,N,,
眼睜睜,,N,,
眼殘,4,N,,
眼淚,2,N,,
眼紅,4,N,,
眼花繚亂,,0,,
眼花撩亂,,0,,
眼巴巴,,N,,
眷戀,1,N,,
眷念,1,N,,
盛怒,4,N,,
異,,0,,
甜頭,1,P,,
甜蜜,1,P,,
甜絲絲,1,P,,
甜甜,1,P,,
甜密,1,P,,
甜美,1,P,,
甜言,1,P,,
甜心,1,P,,
理想,1,P,,
理智,,P,,
理直氣壯,,P,,
猜疑,4,N,,
猜忌,4,N,,
猛烈,,0,,
牽腸掛肚,2,N,,
牽掛,2,N,,
爽朗,1,P,,
爽約,,P,,
爽快,1,P,,
爽心,1,P,,
爽,1,P,,
清楚,,P,,
清閒自在,1,P,,
清爽,1,P,,
清白,,P,,
淹沒,,N,,
混亂,4,N,,
混蛋,4,N,,
混球,4,N,,
混帳,4,N,,
深懷不滿,4,N,,
深感,,0,,
深愛,1,P,,
深惡痛絕,4,N,,
深情,1,P,,
深思,1,P,,
深孚眾望,,P,,
淫婦,4,N,,
淨土,,P,,
淦,4,N,,
淡漠,4,N,,
淚痕斑斑,2,N,,
淚珠,2,N,,
淚流滿面,2,N,,
淚汪汪,2,N,,
淚如泉湧,2,N,,
淚如雨下,2,N,,
淘氣,,P,,
淒慘,2,N,,
淒楚,2,N,,
淒愴,2,N,,
淒然,2,N,,
淒惻,2,N,,
淒惶,2,N,,
淒淒慘慘,2,N,,
淒風楚雨,2,N,,
淒切,2,N,,
涼,,N,,
涎著臉,,N,,
涎皮賴臉,,N,,
毫無辦法,,N,,
毫不動搖,,0,,
殺風景,,N,,
殺洨,4,N,,
殺死,4,N,,
殺小,4,N,,
殺,4,N,,
欲絕,,N,,
欲笑無聲,,0,,
欲哭無淚,,N,,
欲言又止,,0,,
欲,,0,,
望眼欲穿,1,P,,
望梅止渴,1,P,,
望穿秋水,1,P,,
望洋興歎,2,N,,
望而卻步,3,N,,
望而生畏,3,N,,
望子成龍,1,P,,
望子成才,1,P,,
望,,0,,
敝帚自珍,,0,,
敝帚千金,,0,,
敗壞,4,N,,
敗興,4,N,,
敗犬,4,N,,
救,,0,,
敏銳,,P,,
敏感,,0,,
敏捷,,P,,
措置裕如,1,P,,
掩鼻而過,4,N,,
推崇,,P,,
控制,,0,,
掛懷,2,N,,
掛慮,3,N,,
掛牽,2,N,,
掛記,2,N,,
掛念,2,N,,
掛火,4,N,,
掛心,2,N,,
掛,,0,,
掙扎,,N,,
排斥,4,N,,
掉價,4,N,,
掉以輕心,,N,,
掃興,4,N,,
捶胸頓足,4,N,,
捨不得,2,N,,
捧腹大笑,1,P,,
惦掛,2,N,,
惦記,2,N,,
惦念,2,N,,
惦,2,N,,
惟恐,3,N,,
惜力,,N,,
惜,,0,,
惘然若失,2,N,,
惘然,2,N,,
惋惜,2,N,,
惆悵,2,N,,
情願,1,P,,
情緒,,0,,
情急,1,N,,
情有獨鍾,1,P,,
情人,1,P,,
悽慘,2,N,,
悽楚,2,N,,
悼念,2,N,,
悼,2,N,,
悻悻,2,N,,
悵然若失,2,N,,
悵然,2,N,,
悵惘,2,N,,
悵,2,N,,
患病,2,N,,
悠閒,1,P,,
從從容容,1,P,,
從容不迫,1,P,,
從容,1,P,,
徘徊,,N,,
得體,,P,,
得罪,4,N,,
得意洋洋,1,P,,
得意忘形,,N,,
得意,1,P,,
得勁,1,P,,
強顏歡笑,,N,,
強調,,0,,
強暴犯,4,N,,
強硬,,0,,
強健,,P,,
強烈,,0,,
強迫,,N,,
強姦,4,N,,
強壯,,P,,
強力,,P,,
強,,0,,
張皇失措,3,N,,
張皇,3,N,,
張口結舌,,N,,
庸人自擾,,N,,
常備不懈,,P,,
崇高,1,P,,
崇拜,1,P,,
崇奉,,P,,
將信將疑,,N,,
寂寥,2,N,,
寂寞,2,N,,
婊子,4,N,,
娼妓,4,N,,
堵,,0,,
堅強,,P,,
堅定,,P,,
堅決,,P,,
執拗,,N,,
啥洨,4,N,,
啥小,4,N,,
啞然失笑,,N,,
啞口無言,,N,,
啜泣,2,N,,
問心無愧,,P,,
問心有愧,2,N,,
唾棄,4,N,,
唬爛,4,N,,
務期,,0,,
動聽,1,P,,
動魄驚心,3,0,,
動感情,1,P,,
動情,1,P,,
動氣,4,N,,
動容,1,P,,
動怒,4,N,,
動肝火,4,N,,
動火,4,N,,
動心,1,P,,
動人心魄,,0,,
動人,1,P,,
偽造,4,N,,
偷竊,4,N,,
偷取,4,N,,
偷,4,N,,
側重,,N,,
做賊心虛,,N,,
偏愛,1,P,,
偏執,,N,,
偏重,,0,,
偏見,4,N,,
偏好,1,0,,
偏心,,N,,
偉大,,P,,
假裝,,0,,
假掰,4,N,,
乾瞪眼,4,N,,
乾著急,3,N,,
乾笑,,N,,
乾,,0,,
鬼迷心竅,,N,,
鬼哭神嚎,,N,,
鬼哭狼嚎,,N,,
鬥爭,,N,,
高興,1,P,,
高傲,,P,,
高雅,1,P,,
高階,,P,,
高貴,,P,,
高高興興,1,P,,
馬der,4,N,,
馬的,4,N,,
飢不擇食,,N,,
酒酣耳熱,,P,,
逆向,,0,,
逃離,,N,,
逃避,,N,,
退避三舍,,N,,
退避,,N,,
追悼,2,N,,
追悔莫及,2,N,,
追悔,2,N,,
迷戀,1,P,,
迷離,,0,,
迷路,,N,,
迷亂,,N,,
迷惑不解,5,N,,
迷惑,5,N,,
迷惘,5,N,,
迷信,,N,,
迷住,1,P,,
迷失,,N,,
迷人,1,P,,
迷,,0,,
迴避,,N,,
辱罵,4,N,,
起疑,4,N,,
起笑,3,N,,
起肖,3,N,,
貢獻,,P,,
記掛,2,0,,
記恨,4,N,,
記仇,4,N,,
討厭,4,N,,
討喜,1,P,,
衷心,1,P,,
衰微,2,N,,
衰敗,2,N,,
衰退,2,N,,
衰弱,2,N,,
衰老,2,N,,
衰,2,N,,
虔誠,,P,,
荒謬,,N,,
荒唐,,N,,
草率,,N,,
草泥馬,4,N,,
草枝擺,4,N,,
草木皆兵,,N,,
茫然無措,3,N,,
茫然不解,5,N,,
茫然,5,N,,
茫茫然,5,N,,
臭氣,4,N,,
臭味,4,N,,
臭名遠揚,4,N,,
臭名昭著,4,N,,
臭,4,N,,
脈脈傳情,1,P,,
脆弱,2,N,,
脅迫,4,N,,
脅肩諂笑,,N,,
能幹,1,P,,
耽,1,N,,
缺點,4,N,,
缺憾,2,N,,
缺德,4,N,,
缺陷,4,N,,
缺失,4,N,,
缺乏,,N,,
缺少,,N,,
紛爭,4,N,,
納悶,5,N,,
納罕,,N,,
笑瞇瞇,1,P,,
笑嘻嘻,1,P,,
笑話,1,P,,
笑裡藏刀,,N,,
笑逐顏開,1,P,,
笑笑,1,P,,
笑容滿面,1,P,,
笑容可掬,1,P,,
笑容,1,P,,
笑盈盈,1,P,,
笑哈哈,1,P,,
笑呵呵,1,P,,
笑吟吟,1,P,,
笑死,1,P,,
笑,1,P,,
神魂顛倒,1,P,,
神聖,,P,,
神經質,3,N,,
神經病,4,N,,
神往,1,P,,
祝福,1,P,,
祝賀,1,P,,
破壞,4,N,,
破滅,4,N,,
破媌,4,N,,
破麻,4,N,,
眩,,0,,
真實,,0,,
真誠,1,P,,
真理,,P,,
真相,,P,,
真心,1,P,,
益處,,P,,
疾惡如仇,,N,,
疾首蹙額,4,N,,
疾言厲色,4,N,,
疾,,N,,
疼愛,1,P,,
疼痛,2,N,,
疼,2,N,,
疲憊不堪,2,N,,
疲憊,2,N,,
疲竭,2,N,,
疲態,2,N,,
疲頓,2,N,,
疲勞,2,N,,
疲軟,2,N,,
疲累,2,N,,
疲弱,2,N,,
疲倦,2,N,,
疲於奔命,2,N,,
疲乏,2,N,,
疲,2,N,,
畜牲,4,N,,
畜生,4,N,,
留戀,2,N,,
留連忘返,2,N,,
珠淚盈眶,2,N,,
狼狽,,N,,
狹隘,,N,,
狹路相逢,,N,,
狹小,,N,,
涕零,2,N,,
涕泣,2,N,,
消滅,,N,,
消極,2,N,,
消氣,,N,,
消沉,2,N,,
浮躁,4,N,,
浮動,,N,,
浪漫,1,P,,
浩歎,2,N,,
泰然處之,1,P,,
泰然自若,1,P,,
氣餒,2,N,,
氣憤,4,N,,
氣鼓鼓,4,N,,
氣短,,N,,
氣惱,4,N,,
氣悶,4,N,,
氣喘吁吁,,N,,
氣喘,,N,,
氣盛,,0,,
氣哼哼,4,N,,
氣急敗壞,4,N,,
氣急,4,N,,
氣咻咻,4,N,,
氣呼呼,4,N,,
氣沖沖,4,N,,
氣沖牛斗,4,N,,
氣吁吁,4,N,,
氣乎乎,4,N,,
氣不過,4,N,,
氣,4,N,,
殷憂,2,N,,
殷殷,1,N,,
殷切,1,P,,
栩栩如生,,P,,
書呆子,4,N,,
時髦,,P,,
效率,,0,,
捐贈,,P,,
挽,,0,,
振奮,,P,,
挫敗,2,N,,
挫折,2,N,,
悚,3,N,,
悔過自新,2,P,,
悔過,2,N,,
悔罪,2,N,,
悔意,2,N,,
悔悟,2,N,,
悔恨,"2,4",N,,
悔改,2,N,,
悔之晚矣,2,N,,
悔之,2,N,,
悔不當初,2,N,,
悔,2,N,,
悒悒,2,N,,
悅,1,P,,
悄然,,0,,
息怒,,P,,
恭維,1,P,,
恩惠,1,P,,
恩典,1,P,,
恥,4,N,,
恐懼,3,N,,
恐嚇,3,N,,
恐慌,3,N,,
恐怖,3,N,,
徒勞無功,,N,,
弱點,,N,,
弱,,N,,
差強人意,,N,,
差勁,4,N,,
差,,N,,
容忍,,N,,
容光煥發,1,P,,
害臊,2,N,,
害羞,2,N,,
害怕,3,N,,
娛樂,1,P,,
奚落,4,N,,
埋怨,4,N,,
埋三怨四,4,N,,
唐突,,N,,
唏噓,,N,,
唉聲歎氣,2,N,,
哽咽,2,N,,
哮喘,,N,,
哭鬧,2,N,,
哭鼻子,2,N,,
哭訴,2,N,,
哭喪著臉,2,N,,
哭喪,2,N,,
哭喊,2,N,,
哭笑不得,,C,,
哭哭啼啼,2,N,,
哭泣,2,N,,
哭杯,4,N,,
哭叫,2,N,,
哭天哭地,2,N,,
哭天抹淚,2,N,,
哭么,4,N,,
哭,2,N,,
原諒,,P,,
剝奪,,N,,
凌亂,,N,,
值錢,,P,,
值得,,P,,
倦,2,N,,
倚重,,P,,
倔強,,N,,
倒霉,,N,,
倒楣,,N,,
倒胃口,4,N,,
倍感,,0,,
倉惶,3,N,,
倉皇,3,N,,
香爐,4,N,,
首創,,P,,
首要,,0,,
食不甘味,,N,,
風聲鶴唳,,N,,
風險,,N,,
風塵僕僕,,0,,
面臨,,N,,
面無血色,2,N,,
面無人色,2,N,,
面帶微笑,1,P,,
面紅耳赤,4,N,,
面如土色,2,N,,
面不改色,,P,,
降級,,N,,
陌生,,N,,
重擔,,N,,
重視,,P,,
重大,,N,,
重,,0,,
迫害,,N,,
迫於,,N,,
迫切,,0,,
迫不得已,,N,,
迫不及待,1,P,,
負擔,,N,,
負債,,N,,
負氣,4,N,,
負疚,2,N,,
負心,4,N,,
要緊,,0,,
要,,0,,
虐待,4,N,,
英雄,1,P,,
英勇,1,P,,
英俊,1,P,,
苦澀,2,N,,
苦痛,2,N,,
苦惱,3,N,,
苦悶,2,N,,
苦笑,,N,,
苦於,2,N,,
苦,2,N,,
若無其事,,0,,
若有所失,2,N,,
苛求,,N,,
致命,4,N,,
胡扯,4,N,,
背悔,,N,,
背叛,4,N,,
背包袱,,N,,
耶,1,P,,
耍態度,4,N,,
美麗,1,P,,
美德,1,P,,
美滿,1,P,,
美夢,1,P,,
美絲絲,1,P,,
美滋滋,1,P,,
美味,1,P,,
美妙,1,P,,
美好,1,P,,
美人,1,P,,
美,1,P,,
紅臉,1,P,,
紅潮,1,P,,
紅眼,4,N,,
約束,,N,,
紀念,,P,,
祈望,1,P,,
祈求,1,P,,
祈,1,P,,
看輕,4,N,,
看得起,,P,,
看重,,P,,
看中,,P,,
看不慣,4,N,,
看不順眼,4,N,,
看不起,4,N,,
看上,,P,,
看,,0,,
眉歡眼笑,1,P,,
眉開眼笑,1,P,,
眉飛色舞,1,P,,
眉來眼去,1,P,,
眉目傳情,1,P,,
盼望,1,P,,
盼,1,P,,
相思,1,P,,
相信,,P,,
盈眶,,0,,
皈依,,P,,
皈,,0,,
皆大歡喜,1,P,,
畏懼,3,N,,
畏難,3,N,,
畏縮不前,3,N,,
畏縮,3,N,,
畏葸,3,N,,
畏罪,3,N,,
畏首畏尾,3,N,,
畏怯,3,N,,
畏忌,"3,4",N,,
畏,3,N,,
珍藏,1,P,,
珍愛,1,P,,
珍貴,1,P,,
珍視,1,P,,
珍惜,1,P,,
珍奇,1,P,,
狠心,4,N,,
為難,,N,,
為之動容,,P,,
為之一喜,,P,,
炸,4,N,,
炫耀,,P,,
流連,,N,,
流淚,2,N,,
流行,,P,,
活躍,1,P,,
活潑,1,P,,
活力,1,P,,
洩憤,4,N,,
洩氣,4,N,,
洩恨,4,N,,
洩勁,2,N,,
洩私憤,,N,,
津津有味,1,P,,
毒,4,N,,
歪曲,,N,,
柔腸寸斷,2,N,,
柔順,1,P,,
柔軟,1,P,,
柔,1,P,,
是味兒,,P,,
昧心,,N,,
春風滿面,1,P,,
春風得意,1,P,,
挖苦,,N,,
挑釁,4,N,,
挑戰,,N,,
挑剔,4,N,,
指責,4,N,,
指望,,N,,
拼命,,P,,
拷問,,N,,
拷打,,N,,
拯救,,P,,
拮据,,N,,
恰當,1,P,,
恰好,1,P,,
恬靜,1,P,,
恬然,1,P,,
恬不知恥,,N,,
恬,,0,,
恨鐵不成鋼,4,N,,
恨死,4,N,,
恨之入骨,4,N,,
恨不得,4,N,,
恨入骨髓,4,N,,
恨,4,N,,
恍惚,,N,,
怨聲載道,4,N,,
怨憤悵惘,4,N,,
怨恨,4,N,,
怨艾,4,N,,
怨天尤人,4,N,,
怨,4,N,,
急躁,,N,,
急茬,,N,,
急急巴巴,,N,,
急急,,N,,
急待,,N,,
急於求成,1,P,,
急於,1,P,,
急忙,,N,,
急如星火,,N,,
急功近利,,N,,
急火火,,N,,
急切,,0,,
急不可耐,,N,,
急不可待,,N,,
急,,0,,
思戀,1,P,,
思慕,1,P,,
思量,,0,,
思鄉,2,N,,
思念,2,N,,
思,,0,,
怒髮衝冠,4,N,,
怒罵,4,N,,
怒視,4,N,,
怒氣衝天,4,N,,
怒氣沖沖,4,N,,
怒氣沖天,4,N,,
怒氣攻心,4,N,,
怒氣,4,N,,
怒沖沖,4,N,,
怒形於色,4,N,,
怒吼,4,N,,
怒色,4,N,,
怒目橫眉,4,N,,
怒目圓睜,4,N,,
怒目,4,N,,
怒斥,4,N,,
怒火中燒,4,N,,
怒火,4,N,,
怒不可遏,4,N,,
怒不,4,N,,
怒,4,N,,
後顧之憂,2,N,,
後悔莫及,2,N,,
後悔不迭,2,N,,
後悔,2,N,,
後怕,2,N,,
幽默,1,P,,
幽咽,,N,,
帥氣,1,P,,
帥,1,P,,
屏氣,,0,,
屏息,,0,,
屏,,0,,
屎,4,N,,
屌,4,N,,
威嚴,,P,,
威脅,,N,,
威風掃地,,N,,
威信掃地,,N,,
哎呀,,0,,
哈哈大笑,1,P,,
哈哈,1,P,,
哈,1,P,,
哇賽,1,P,,
哇靠,"1,5",0,,
哇,1,P,,
哄騙,,N,,
哄然大笑,1,P,,
哄堂大笑,1,P,,
哄笑,1,P,,
哂笑,1,N,,
哂,1,0,,
品德,,0,,
品行,,0,,
哀歎,2,N,,
哀憐,2,N,,
哀榮,2,N,,
哀慟,2,N,,
哀號,2,N,,
哀愁,2,N,,
哀傷,2,N,,
哀痛,2,N,,
哀淒,2,N,,
哀戚,2,N,,
哀悼,2,N,,
哀矜,2,N,,
哀怨,2,N,,
哀思,2,N,,
哀呼,2,N,,
哀求,2,N,,
哀,2,N,,
咳聲歎氣,2,N,,
咯咯笑,1,P,,
咬牙切齒,4,N,,
叛亂,4,N,,
厚顏無恥,,N,,
厚,,0,,
勉強,,N,,
勇敢,,P,,
勇氣,,P,,
勃然大怒,4,N,,
前仰後合,1,P,,
冠軍,,P,,
冒險,,0,,
冒犯,,N,,
冒火,4,N,,
信譽,,P,,
信賴,,P,,
信實,,P,,
信義,,P,,
信教,,0,,
信服,,P,,
信奉,,0,,
信任,,P,,
信仰,,P,,
信心,,P,,
信不過,,N,,
信,,0,,
保護,,P,,
保證,,P,,
保衛,,P,,
俗辣,4,N,,
俗氣,,N,,
俗,,0,,
俊美,1,P,,
侷促,,N,,
侵襲,,N,,
侵擾,,N,,
侵略,,N,,
侵害,,N,,
侵佔,,N,,
侵犯,,N,,
侮蔑,4,N,,
侮辱,4,N,,
非難,4,N,,
非禮,4,N,,
非人,,N,,
青睞,1,P,,
長歎,2,N,,
長歌當哭,,N,,
長處,,P,,
長吁短歎,2,N,,
花招,,N,,
臥草,4,N,,
肯定,,P,,
肯切,,P,,
肯,,0,,
肏你媽,4,N,,
肏,4,N,,
空虛,2,N,,
空洞,2,N,,
知識,,P,,
知足常樂,1,P,,
知足,1,P,,
知己,1,P,,
直眉瞪眼,4,N,,
直勾勾,,0,,
疚,2,N,,
玩樂,1,P,,
玩笑,1,P,,
玩耍,1,P,,
玩,1,P,,
狗娘養的,4,N,,
狗急跳牆,3,N,,
狗屎,4,N,,
狗屁,4,N,,
狐疑,4,N,,
物傷其類,,N,,
爭論,,N,,
爭風吃醋,4,N,,
爭吵,4,N,,
注重,,P,,
泥塑木雕,5,0,,
泣,2,N,,
波瀾不驚,,P,,
沾沾自喜,1,P,,
治療,,0,,
油煎火燎,3,N,,
沮喪,2,N,,
歧視,4,N,,
欣賞,1,P,,
欣慰,1,P,,
欣羨,1,P,,
欣然,1,P,,
欣喜若狂,1,P,,
欣喜,1,P,,
欣悅,1,P,,
欣欣然,1,P,,
欣欣,1,P,,
欣幸,1,P,,
欣,1,P,,
果斷,,0,,
林祖罵,4,N,,
林娘,4,N,,
林老師,4,N,,
林北,4,N,,
枉然,,N,,
板臉,4,N,,
杯弓蛇影,3,N,,
服從,,P,,
朋友,,P,,
易怒,4,N,,
昏頭,,N,,
昏亂,,N,,
昏沉,,N,,
明智,,P,,
明亮,,P,,
昂奮,,P,,
昂貴,,0,,
放鬆,1,P,,
放縱,,N,,
放肆,,N,,
放棄,2,N,,
放屁,4,N,,
放任,,0,,
放心不下,,N,,
放心,,P,,
拙劣,,N,,
拔辣,4,N,,
拒絕,,N,,
拎鄒罵,4,N,,
拎祖罵,4,N,,
拎祖媽,4,N,,
拎娘,4,N,,
拎杯,4,N,,
拎老濕,4,N,,
拎老師,4,N,,
拎北,4,N,,
拍手稱快,1,P,,
拋棄,4,N,,
拉緊,,0,,
拂袖而去,,N,,
抽噎,2,N,,
抽搭,,N,,
抽泣,2,N,,
抹不開,,N,,
抵制,,N,,
抱頭痛哭,2,N,,
抱歉,2,N,,
抱愧,2,N,,
抱恨終身,2,N,,
抱恨終天,2,N,,
抱恨,2,N,,
抱怨,4,N,,
抱屈,2,N,,
抱委屈,2,N,,
抱不平,4,N,,
抱,,0,,
抨擊,4,N,,
承諾,,0,,
承擔,,0,,
怵,3,N,,
怯場,3,N,,
怯陣,3,N,,
怪誕,,N,,
怪罪,4,N,,
怪異,,N,,
怪胎,4,N,,
怪,,N,,
性騷擾,4,N,,
性情,,0,,
怡然自得,1,P,,
怡然,1,P,,
怡人,1,P,,
怡,1,P,,
怖,3,N,,
怕羞,3,N,,
怕生,3,N,,
怕,3,N,,
怔忪,3,N,,
怔,,0,,
怏怏不樂,2,N,,
怏怏,2,N,,
忿怒,4,N,,
忿忿不平,4,N,,
忿,4,N,,
忽視,2,N,,
忽略,2,N,,
忽忽不樂,2,N,,
忽忽,2,N,,
忠實,,P,,
忠誠,,P,,
忠於,,P,,
忠孝,,P,,
忠心,,P,,
忠,,P,,
忝,4,N,,
幸福,1,P,,
幸運,1,P,,
幸喜,1,P,,
幸甚,1,P,,
幸,1,P,,
居安思危,,C,,
屄,4,N,,
宜人,1,P,,
定神,,0,,
孤掌難鳴,,N,,
孤,,N,,
委靡不振,2,N,,
委靡,2,N,,
委頓,2,N,,
委屈,2,N,,
奉獻,,P,,
奉承,,P,,
奉,,0,,
奈何,,N,,
奈,,0,,
奇異,,N,,
奇特,,0,,
奇怪,,N,,
奇,,0,,
垃圾,4,N,,
垂頭喪氣,2,N,,
垂愛,1,P,,
垂青,1,P,,
坦誠,,P,,
坦然,,P,,
坦率,,P,,
坦白,,P,,
固執,,N,,
咒罵,4,N,,
和藹,1,P,,
和諧,1,P,,
和樂,1,P,,
和睦,1,P,,
和煦,1,P,,
和善,1,P,,
和平,1,P,,
咋舌,5,N,,
咆嘯,4,N,,
命運,,0,,
呼號,,N,,
呼天搶地,,N,,
呸,4,N,,
呵呵,1,P,,
周到,,P,,
受驚,3,N,,
受騙,,N,,
受寵若驚,,P,,
受罪,2,N,,
受傷,2,N,,
受窘,2,N,,
受惠,1,P,,
受害,4,N,,
受虐,4,N,,
受苦,2,N,,
受不了,,N,,
取笑,,N,,
協助,,P,,
卑鄙,4,N,,
卑躬屈膝,,N,,
卑劣,4,N,,
刻薄,4,N,,
刺激,,N,,
刺傷,4,N,,
刺痛,4,N,,
刺眼,4,N,,
刮目相看,,P,,
刮目相待,,P,,
典範,,P,,
其樂融融,1,P,,
其樂無窮,1,P,,
兩難,,N,,
兔死狐悲,,N,,
依戀,1,P,,
依依戀戀,1,P,,
依依不捨,1,P,,
依依,1,P,,
使勁,,0,,
使性子,4,N,,
佳,,P,,
享受,1,P,,
亟盼,1,P,,
亟待解決,,N,,
亟,,0,,
邪惡,4,N,,
辛酸,2,N,,
足夠,,0,,
走運,,P,,
見獵心喜,,P,,
見慣不驚,,0,,
見怪,,N,,
見不得人,,N,,
芒刺在背,,N,,
良,1,P,,
